id	file	label	size	category	high	middle	low
L01	L01.png	BioSaurus sýrové křupky	50 g	Slané snacky	34,90 Kč	20,00 Kč	19,00 Kč
L02	L02.png	Pom-Bär Original	50 g	Slané snacky	33,90 Kč	29,50 Kč	21,25 Kč
L03	L03.png	Bohemia arašídové křupky	100 g	Slané snacky	24,90 Kč	20,00 Kč	15,00 Kč
L04	L04.png	Poco Loco tortilla chips slané	125 g	Slané snacky	45,90 Kč	29,00 Kč	20,00 Kč
L05	L05.png	Pan Křupka jahodové křupky	20 g	Slané snacky	18,90 Kč	15,50 Kč	12,00 Kč
L06	L06.png	Kiddylicious zeleninové tyčinky	12 g	Slané snacky	33,90 Kč	20,00 Kč	19,00 Kč
L08	L08.png	Bohemia sýrové tyčinky	80 g	Slané snacky	27,90 Kč	25,00 Kč	20,00 Kč
L09	L09.png	TUC Bake Rolls sůl	80 g	Slané snacky	30,90 Kč	25,00 Kč	20,00 Kč
L10	L10.png	TUC Krekry	100 g	Slané snacky	34,90 Kč	25,00 Kč	20,00 Kč
D03	D03.png	Prokudent ústní sprej antibakteriální	15 ml	Praktické doplňky	34,90 Kč	30,00 Kč	25,00 Kč
D06	D06.png	Koh-i-noor popisovací liner	černý	Praktické doplňky	23,90 Kč	20,00 Kč	10,00 Kč
M03	M03.png	Decision Lab merch: Propiska ve stříbrné barvě	modrá náplň	Praktické doplňky	19,00 Kč	15,00 Kč	9,00 Kč
M06	M06.png	Decision Lab merch: Tužka s gumou	HB	Praktické doplňky	10,50 Kč	8,50 Kč	5,00 Kč
M08	M08.png	Decision Lab merch: kapesní poznámkový blok A6	120 listů bez linek	Praktické doplňky	50,00 Kč	30,00 Kč	15,00 Kč
M09	M09.png	Decision Lab merch: Zápisník A5 v deskách	80 linkovaných listů	Praktické doplňky	60,00 Kč	40,00 Kč	20,00 Kč
M13	M13.png	Decision Lab merch: Taška ze 100% bavlny	140 g/m², 38x42 cm	Praktické doplňky	48,00 Kč	40,00 Kč	32,00 Kč
N01	N01.png	Kubík 100% Multivitamin	300 ml	Nealko nápoje	25,90 Kč	20,00 Kč	16,50 Kč
N02	N02.png	Prager’s Kombucha Original	330 ml	Nealko nápoje	49,90 Kč	35,00 Kč	22,00 Kč
N03	N03.png	Seicha Matcha Yuzu a zázvor	330 ml	Nealko nápoje	51,90 Kč	30,00 Kč	20,00 Kč
N04	N04.png	San Pellegrino Melograno & Arancia	330 ml	Nealko nápoje	44,90 Kč	25,00 Kč	20,00 Kč
N05	N05.png	Bacilli BIO Kombucha Maté	330 ml	Nealko nápoje	50,90 Kč	40,00 Kč	33,75 Kč
N06	N06.png	Dilmah ledový čaj zelený jasmín	500 ml	Nealko nápoje	26,90 Kč	25,00 Kč	22,00 Kč
N07	N07.png	Popstar Tea broskev & vanilka	500 ml	Nealko nápoje	29,90 Kč	25,00 Kč	20,00 Kč
N08	N08.png	Royal Crown Cola Classic	500 ml	Nealko nápoje	35,90 Kč	30,00 Kč	25,00 Kč
N09	N09.png	Coca-Cola	500 ml	Nealko nápoje	29,90 Kč	25,00 Kč	19,00 Kč
N10	N10.png	UGO Raw Cold Brew Tea meruňka, meduňka a levandule	500 ml	Nealko nápoje	52,90 Kč	35,00 Kč	30,00 Kč
N11	N11.png	Coffizz kofeinová voda maracuja	500 ml	Nealko nápoje	34,50 Kč	25,00 Kč	15,00 Kč
N12	N12.png	Mattoni Nealko drink mojito plech	330 ml	Nealko nápoje	24,90 Kč	20,00 Kč	15,00 Kč
N13	N13.png	Birell 0,0% Energy Pomelo & grep nealkoholické pivo s kofeinem	500 ml	Nealko nápoje	23,70 Kč	20,00 Kč	17,50 Kč
N14	N14.png	Cool grep nealkoholické	500 ml	Nealko nápoje	24,70 Kč	22,50 Kč	18,75 Kč
S01	S01.png	Sedita Horalky	50 g	Sladkosti	19,90 Kč	12,00 Kč	10,00 Kč
S02	S02.png	Kinder Chocolate	50 g	Sladkosti	30,90 Kč	25,00 Kč	20,00 Kč
S04	S04.png	Schogetten mléčná čokoláda	100 g	Sladkosti	46,90 Kč	30,00 Kč	22,00 Kč
S06	S06.png	Orbit Melon	14 g	Sladkosti	21,90 Kč	15,00 Kč	14,00 Kč
S07	S07.png	Orbit Máta	50 g	Sladkosti	59,90 Kč	40,00 Kč	30,00 Kč
S08	S08.png	JOJO Kyselé žížalky	80 g	Sladkosti	20,90 Kč	20,00 Kč	15,75 Kč
S09	S09.png	Mixit Créme boule Pistachio mio	30 g	Sladkosti	26,90 Kč	20,00 Kč	15,00 Kč
S10	S10.png	YUTTO mango lyofilizované	30 g	Sladkosti	49,90 Kč	35,00 Kč	25,00 Kč
S11	S11.png	Mixitka Brownie	43 g	Sladkosti	29,90 Kč	25,00 Kč	15,00 Kč
S12	S12.png	Mixies ovocné želé bonbony	35 g	Sladkosti	32,90 Kč	20,00 Kč	16,00 Kč
S14	S14.png	Hello ovocná svačinka s jahodami	100 g	Sladkosti	12,90 Kč	10,50 Kč	8,00 Kč
S15	S15.png	Relax pyré broskev a maracuja	120 g	Sladkosti	18,40 Kč	15,00 Kč	12,00 Kč
